"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/07/28 2:13:42 AM GMT+4","Nigeria","45-54","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides","Yes","Agricultural land","Moderately concerned","Somewhat knowledgeable","School/University","Yes","Effects on oxygen ","Yes","TV","Climate and environmental damage","Very significantly","Yes","Industrial recycling","Government","","Increased recycling infrastructure","Take action by recycling ","Health education","Providing private recycling sector no","No"
"2025/07/28 5:30:33 AM GMT+4","Nigeria","25-34","Male","Master’s degree or higher","NGO / Civil society worker","NGO/Civil Society","Frequently","Beaches","Yes","Marine/coastal areas","Extremely concerned","Very knowledgeable","Television;Social Media;Scientific publications","Yes","Cancer","Yes","TV;Radio;Facebook;Newspapers;YouTube;Public forums","Threats to marine life","Very significantly","Yes","Reusing and repairing products;Upcycling waste materials","Local communities;NGOs","illiteracy and lack of awareness ","Ban on single-use plastics;National awareness campaigns;Strict enforcement of waste laws;Public-private partnerships","Awareness and education ","Better waste facilities","Community development services ","No"
"2025/07/28 9:13:10 AM GMT+4","Nigeria","55-64","Male","Master’s degree or higher","Government employee","Academic/Research","Frequently","Roadsides","Yes","Urban areas","Extremely concerned","Very knowledgeable","Television","Not sure","","No","TV","Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;Local communities;Schools/universities;NGOs","Funds is the main challenge ","Increased recycling infrastructure;National awareness campaigns;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Reduce its use","Health education","Community engagements ","It's generally heath threatening "
"2025/07/28 11:19:41 AM GMT+4","Nigeria","25-34","Male","Bachelor’s degree","Researcher / Academic","Private Sector","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Marine/coastal areas;Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","School/University","No","","No","TV;WhatsApp;Facebook;TikTok","Microplastics in drinking water;Climate and environmental damage","Very significantly","No","Redesigning packaging;Industrial recycling;Upcycling waste materials","Government;Private companies;Local communities;NGOs","","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Dump plastic waste at designated places appointed by the local authority","Better waste facilities","By providing more biodegradable alternatives",""
"2025/07/28 12:08:04 PM GMT+4","Nigeria","25-34","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications","Yes","Cancer","No","Newspapers;Public forums","Threats to marine life;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","No","Reusing and repairing products;Redesigning packaging;Industrial recycling","Government","Lack of funds","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Disposing them appropriately ","Better waste facilities","Creation of more awareness",""
"2025/07/28 12:50:19 PM GMT+4","Nigeria","35-44","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Occasionally","Urban dumpsites","No","","Moderately concerned","Heard about it but unsure","Social Media","Yes","","No","Radio","Government policy changes","Slightly","No","Industrial recycling","Government","Nill","Increased recycling infrastructure","","Financial incentives","",""
"2025/07/28 1:20:56 PM GMT+4","Nigeria","25-34","Male","Bachelor’s degree","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas","Extremely concerned","Very knowledgeable","Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","Endocrine Disruption","Yes","Newspapers;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Call to action/cleanups","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Government incentives for recyclers","Private companies;Startups;Local communities;Schools/universities","Recycling is not properly structured","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Public-private partnerships;Community-based waste management","Creating awareness","Financial incentives","Recycling should be incentivize",""
"2025/07/28 3:16:25 PM GMT+4","Uganda","25-34","Male","Bachelor’s degree","Informal sector worker","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","Social Media;Scientific publications;School/University","Yes","","Yes","TV;TikTok;Newspapers","Microplastics in drinking water;Climate and environmental damage;Call to action/cleanups","Moderately","Yes","Reusing and repairing products;Industrial recycling;Government incentives for recyclers","Government;Private companies;Startups;Local communities","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives","Proper disposal and reuse","Better waste facilities","",""
"2025/07/28 3:17:51 PM GMT+4","Uganda","25-34","Male","Bachelor’s degree","Researcher / Academic","Public Sector","Frequently","Rivers/Lakes","Yes","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","","Yes","TV;Radio;TikTok","Threats to marine life;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Government incentives for recyclers","Government;NGOs","","","","","",""
"2025/07/28 3:55:28 PM GMT+4","Uganda","25-34","Male","Bachelor’s degree","Business owner / Entrepreneur","Private Sector","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Social Media;Scientific publications","Yes","","Yes","TV;Public forums","Threats to marine life","Very significantly","No","Industrial recycling;None","Startups","","Ban on single-use plastics;Incentives for plastic alternatives;Strict enforcement of waste laws","","Health education","",""
"2025/07/28 4:15:41 PM GMT+4","Uganda","25-34","Female","Bachelor’s degree","NGO / Civil society worker","Academic/Research","Rarely","Markets or open-air areas","Yes","Agricultural land","Extremely concerned","Somewhat knowledgeable","Television;Social Media;Scientific publications;School/University","Yes","Cancer","Yes","TV;TikTok;Newspapers;YouTube;Public forums","Microplastics in drinking water;Climate and environmental damage;Call to action/cleanups","Moderately","No","Upcycling waste materials","Private companies;Local communities","","Increased recycling infrastructure;Incentives for plastic alternatives;Public-private partnerships","","Financial incentives","More awareness campaigns ",""
"2025/07/28 4:38:59 PM GMT+4","Uganda","25-34","Male","Master’s degree or higher","Business owner / Entrepreneur","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","cancer","Yes","TV;Radio;WhatsApp;Facebook;TikTok;Newspapers;YouTube;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Government incentives for recyclers","Government;Private companies;Startups;Local communities;Schools/universities;NGOs","limited knowledge and continue supply of such products in the community","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Community-based waste management","Proper disposal of plastics by also recycling where need be and carrying my trash until I reach a gazetted disposal area","Better waste facilities","more education and periodic collection of garbage by local authorities to avoid heap dumping in non gazetted areas",""
"2025/07/28 8:30:55 PM GMT+4","Nigeria","35-44","Male","Bachelor’s degree","Private sector ","Private Sector","Frequently","Roadsides;Markets or open-air areas","Yes","Marine/coastal areas","Extremely concerned","Very knowledgeable","Social Media","Yes","Cancers. ","No","Radio;YouTube","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Slightly","No","Composting and biodegradables;Industrial recycling","Private companies;Startups","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Recycling","Better waste facilities","More emphasis on number 26 above. ","More reach, especially to rural communities"
"2025/07/28 9:34:38 PM GMT+4","Nigeria","18-24","Male","Bachelor’s degree","Student","Student","Frequently","Roadsides","Yes","Agricultural land","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;School/University","Yes","","Yes","WhatsApp","Threats to marine life;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Schools/universities","Lack of equipment to dispose materials","Increased recycling infrastructure;Incentives for plastic alternatives","By Disposing them or giving them to a recycling company ","Health education","The Government should do more in recycling companies ",""
"2025/07/28 9:47:48 PM GMT+4","Nigeria","18-24","Male","Bachelor’s degree","Student","Student","Frequently","Roadsides;Farmlands;Urban dumpsites","No","Urban areas","I don’t know enough to answer","Heard about it but unsure","Social Media;School/University","Not sure","","Not sure","TV;Newspapers","Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Slightly","No","None","","","","","","",""
"2025/07/28 9:51:39 PM GMT+4","Nigeria","18-24","Female","Secondary education","Student","Student","Occasionally","Roadsides","No","Freshwater ecosystems","Slightly concerned","Heard about it but unsure","None","Yes","","No","TikTok","I don’t recall any","Not at all","No","Reusing and repairing products","I’m not sure","","","","","",""
"2025/07/28 9:52:02 PM GMT+4","Nigeria","Under 18","Female","Secondary education","Student","Student","Frequently","Roadsides;Rivers/Lakes;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;NGOs;School/University;Community leaders","Yes","","Yes","TV;Radio;WhatsApp;TikTok","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Local communities;NGOs","","Strict enforcement of waste laws","Not dumping in road sides but in designated waste bins","Community leadership","",""
"2025/07/28 11:21:49 PM GMT+4","Nigeria","18-24","Female","Bachelor’s degree","Student","Student","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Social Media;School/University","Yes","","Yes","TV;WhatsApp;Facebook;Public forums","Microplastics in drinking water;Climate and environmental damage","Very significantly","No","Reusing and repairing products;Redesigning packaging;Upcycling waste materials","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Strict enforcement of waste laws","","Better waste facilities","",""
"2025/07/28 11:54:42 PM GMT+4","Kenya","18-24","Male","Diploma or equivalent","Informal sector worker","Informal Sector","Never","Roadsides","Yes","Freshwater ecosystems","Extremely concerned","Somewhat knowledgeable","School/University","Yes","","Yes","Religious institutions","Food chain contamination","Very significantly","Yes","Reusing and repairing products","Government","","Ban on single-use plastics","","Financial incentives","",""
"2025/07/29 1:56:52 AM GMT+4","Nigeria","18-24","Male","Bachelor’s degree","Student","Student","Never","Roadsides","Yes","Urban areas","Slightly concerned","","School/University","Yes","","No","TV","Climate and environmental damage","Very significantly","No","Government incentives for recyclers","Government","","Integration into school curricula","","Better waste facilities","",""
"2025/07/29 8:06:41 AM GMT+4","Nigeria","55-64","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides","Yes","Urban areas","Extremely concerned","Very knowledgeable","Scientific publications","Yes","Food chain contamination and environment pollution hazard's.","Yes","TV","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Government;Private companies;Schools/universities;NGOs","Lack of government commitment ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Adopt best waste management practices at home and working places. ","Health education","Strict government enforcement with punishment ","Enforcement of standard waste management practices in at home workplaces."
"2025/07/29 11:58:49 AM GMT+4","Nigeria","Under 18","Male","Diploma or equivalent","Student","Student","Never","Markets or open-air areas","","","Not concerned","Not knowledgeable","None","Yes","Open ","No","Public forums","Climate and environmental damage","Slightly","No","Composting and biodegradables","I’m not sure","Ended","Strict enforcement of waste laws","No action ","Health education","No Idea","No "
"2025/07/30 8:29:18 AM GMT+4","Nigeria","18-24","Prefer not to say","Bachelor’s degree","Student","Student","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Forests","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions","Yes","","Yes","TV;Newspapers;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","No","None","I’m not sure","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","","Better waste facilities","",""
"2025/07/30 1:32:49 PM GMT+4","Nigeria","45-54","Male","Master’s degree or higher","Researcher / Academic","Public Sector","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Somewhat","Urban areas","Extremely concerned","Somewhat knowledgeable","None","Yes","","Not sure","Radio;Facebook;TikTok;Newspapers","Microplastics in drinking water;Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Industrial recycling","Private companies;Schools/universities","Lack of awareness ","Increased recycling infrastructure;Incentives for plastic alternatives","Recycling ","Financial incentives","Adopt proper west dump ","More awareness campaign on the effects of micro plastics pollution should be adopted."
"2025/07/30 3:01:27 PM GMT+4","Ethiopia","25-34","Male","Diploma or equivalent","Business owner / Entrepreneur","","Never","","Yes","","Moderately concerned","Somewhat knowledgeable","Social Media","Yes","to know micro plastic","Yes","Facebook","Threats to marine life","Moderately","Yes","Redesigning packaging","Government","circular econmy in my area very hign","Ban on single-use plastics","Social media","Community leadership","Media","optional"
"2025/07/30 11:52:00 PM GMT+4","Nigeria ","Under 18","Female","Diploma or equivalent","Student","NGO/Civil Society","Rarely","Urban dumpsites","Yes","Freshwater ecosystems;Agricultural land","Slightly concerned","Somewhat knowledgeable","NGOs;School/University","Yes","It causes long tissue irritation, it increases oxidative stress which can cause heat problems ","Yes","WhatsApp;TikTok;Public forums","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Very significantly","No","Composting and biodegradables;Industrial recycling","Schools/universities;NGOs","","Ban on single-use plastics;Increased recycling infrastructure;Integration into school curricula;Public-private partnerships","Properly disposing plastic waste or recycling bottles the plastics ","","",""
"2025/07/31 9:05:42 PM GMT+4","Kenya","25-34","Male","Secondary education","Student","Student","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Social Media","Yes","Respiratory, cardiovascular and nevours issues","No","TV","Threats to marine life;Microplastics in drinking water;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;NGOs","","Increased recycling infrastructure;National awareness campaigns","Properly recycling non-biodegradable wastes","Better waste facilities","",""
"2025/07/31 9:51:13 PM GMT+4","Uganda","25-34","Female","Master’s degree or higher","NGO / Civil society worker","NGO/Civil Society","Frequently","Roadsides;Urban dumpsites","Somewhat","Freshwater ecosystems;Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","Social Media;NGOs","Not sure","I haven’t heard of any","Not sure","TV;Radio;Newspapers;Public forums","Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","No","Redesigning packaging;Industrial recycling","Local communities;NGOs","","National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Community-based waste management","Putting away used plastics in the trash or burning the plastics. Selling or giving away the plastics to recyclers ","Community leadership","Enforcement of better waste plastic management by the community leadership ","Government offering more resources to community leadership to support better micro plastic management "
"2025/07/31 10:42:51 PM GMT+4","Nigeria","35-44","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes","Somewhat","Freshwater ecosystems","Moderately concerned","Very knowledgeable","Scientific publications","Yes","Pollution ","Yes","Dr","Climate and environmental damage","Very significantly","No","Reusing and repairing products","Government;Private companies","Government policies ","Increased recycling infrastructure;Strict enforcement of waste laws;Community-based waste management","Removing the available once before me","Better waste facilities","More of government policies so","More of government policies on wast disposal "
"2025/08/01 10:36:25 AM GMT+4","Kenya","18-24","Female","Bachelor’s degree","Student","Student","Occasionally","Roadsides;Rivers/Lakes;Farmlands;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;NGOs;School/University","Yes","","Yes","TV;Radio;YouTube;Public forums","Microplastics in drinking water;Call to action/cleanups","Moderately","Yes","Reusing and repairing products","Government;NGOs","","Increased recycling infrastructure;National awareness campaigns;Strict enforcement of waste laws;Public-private partnerships","","Health education","",""
"2025/08/02 12:06:56 PM GMT+4","Nigeria","18-24","Female","Bachelor’s degree","Business owner / Entrepreneur","Private Sector","Frequently","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Social Media;School/University","Yes","","No","TV;Radio","Food chain contamination;Climate and environmental damage","Moderately","No","Reusing and repairing products","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws","All listed above ","Health education","",""
"2025/08/02 12:17:34 PM GMT+4","Nigeria","35-44","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides","Yes","Freshwater ecosystems","Moderately concerned","Very knowledgeable","Scientific publications","Yes","Reproduction","Yes","TV;Facebook;Public forums","Microplastics in drinking water","Slightly","No","Industrial recycling","Private companies","","National awareness campaigns;Public-private partnerships","Improve awareness especially in rural areas","Community leadership","Government intervention",""
"2025/08/02 1:23:06 PM GMT+4","Nigeria","18-24","Female","Bachelor’s degree","Business owner / Entrepreneur","Public Sector","Frequently","Rivers/Lakes","Yes","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Television;Social Media;School/University","Yes","","Yes","TikTok","Threats to marine life;Microplastics in drinking water;Food chain contamination;Call to action/cleanups","Very significantly","No","Redesigning packaging","Private companies;Local communities;Schools/universities","","National awareness campaigns","","Health education","",""
"2025/08/02 10:35:07 PM GMT+4","Kenya","18-24","Male","Diploma or equivalent","Student","Student","Frequently","Markets or open-air areas","Yes","Urban areas","Moderately concerned","Somewhat knowledgeable","Social Media","Not sure","","No","Radio","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Moderately","No","Industrial recycling","I’m not sure","I'm not sure","Increased recycling infrastructure","I collect them and sell them people in volved on recycling  them","Financial incentives","educate  people about it and also promote  more NGOs to work with","non"
"2025/08/03 5:30:17 PM GMT+4","South Sudan","45-54","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas;","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas;Household and in food","Extremely concerned","Somewhat knowledgeable","Scientific publications;School/University","Yes","In food","No","Facebook","Climate and environmental damage","Slightly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Startups","Space to do the upcycling","Community-based waste management","Domestic management ","Health education","Facilities and trust in government ",""
"2025/08/04 4:33:22 AM GMT+4","Canada","35-44","Male","Master’s degree or higher","Pastor","Private Sector","Rarely","Markets or open-air areas","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University","Yes","Cancer","Yes","TV;Radio;WhatsApp;Facebook;Newspapers;YouTube","Climate and environmental damage","Very significantly","Yes","Composting and biodegradables;Government incentives for recyclers","Government;Private companies;Local communities;NGOs","Awareness","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Public-private partnerships;Community-based waste management","Avoir using plastic bags","Religious/cultural messaging","",""
"2025/08/05 1:17:57 PM GMT+4","Kenya","18-24","Male","Diploma or equivalent","Student","Student","Occasionally","Roadsides","Yes","Freshwater ecosystems","Moderately concerned","Very knowledgeable","Television;Social Media","Yes","","Yes","TV","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling","Private companies;Startups;Local communities","","Increased recycling infrastructure;National awareness campaigns","","Better waste facilities","",""
"2025/08/05 4:39:12 PM GMT+4","Kenya","18-24","Male","Diploma or equivalent","Student","Student","Occasionally","Roadsides","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","Social Media;School/University","Yes","","Yes","TV;Facebook","Threats to marine life;Food chain contamination;Climate and environmental damage","Moderately","Yes","Reusing and repairing products","NGOs","","Increased recycling infrastructure","","Better waste facilities","",""
"2025/08/05 5:49:05 PM GMT+4","Senegal ","55-64","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Heard about it but unsure","Scientific publications","Yes","Effects still unknown ","No","TV;Newspapers;Public forums","Threats to marine life;Food chain contamination;Government policy changes","Slightly","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Local communities;NGOs","Waste management ","Ban on single-use plastics;National awareness campaigns;Incentives for plastic alternatives","Avoid using plastic bags ","Better waste facilities","Cleaning ","No"
"2025/08/05 5:56:47 PM GMT+4","Kenya","18-24","Male","Bachelor’s degree","Student","Student","Frequently","Markets or open-air areas","Yes","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","Threat to aquatic life ","Yes","TV;Radio;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Government incentives for recyclers","Private companies;Local communities;Schools/universities;NGOs","Illiteracy level ","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships","Use environment friendly package ","Financial incentives","Home to home education ","Educational campaigns "
"2025/08/05 6:16:13 PM GMT+4","Kenya","45-54","Male","Master’s degree or higher","Researcher / Academic","Private Sector","Occasionally","Rivers/Lakes","Yes","Freshwater ecosystems","Extremely concerned","Somewhat knowledgeable","Social Media","Yes","Cancer ","No","TV","Call to action/cleanups","Moderately","Yes","Industrial recycling","Government","Stealing plastic products ","Increased recycling infrastructure","Campaigns ","Community leadership","Running campaigns","Government policy on plastics recycling "
"2025/08/05 6:17:31 PM GMT+4","Kenya","18-24","Male","Bachelor’s degree","Educator / Teacher","Private Sector","Occasionally","Roadsides","Yes","Urban areas","Slightly concerned","Somewhat knowledgeable","Social Media","Yes","TB","No","TV","Threats to marine life","Moderately","No","None","I’m not sure","Not sure","Community-based waste management","Not sure","Community leadership","Abstain ","N/A"
"2025/08/05 6:17:37 PM GMT+4","Rwanda","35-44","Male","Master’s degree or higher","Student","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Forests;Urban areas","Extremely concerned","Very knowledgeable","Radio;Scientific publications;School/University","Yes","They interfere with endocrine","No","TV;Radio;WhatsApp","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Government","Products are not designed to be reused","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","I avoid use  plastic bags","Better waste facilities","Enforce bans and taxes of plastic materials","The research on plastic pollution is low in East Africa region .Improve funds in this field is required."
"2025/08/05 6:19:34 PM GMT+4","Kenya","25-34","Male","Bachelor’s degree","Informal sector worker","Informal Sector","Frequently","Rivers/Lakes;Urban dumpsites","Yes","Freshwater ecosystems;Marine/coastal areas","Moderately concerned","Somewhat knowledgeable","Television;Social Media","Yes","Respiratory Issues","Yes","TV","Threats to marine life;Call to action/cleanups","Moderately","Yes","Industrial recycling","Government;Private companies","Waste collection and recycling infrastructure are regionally inconsistent. In many informal settlements and rural areas, services are limited or nonexistent, hindering efficient waste segregation and recycling","Increased recycling infrastructure;National awareness campaigns;Incentives for plastic alternatives","Instead of buying bottled water, i use a reusable bottle and refill from safe water sources.","Health education","Ban or heavily tax single-use plastics (e.g., straws, cutlery, packaging).","Go plastic-free for a week or month.
Organize clean-ups, workshops, recycling drives, or DIY events.
Teach people how to turn plastic waste into useful items "
"2025/08/05 6:26:11 PM GMT+4","Rwanda","18-24","Male","Bachelor’s degree","Educator / Teacher","Public Sector","Occasionally","Roadsides;Farmlands","Somewhat","Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;School/University;Community leaders","Yes","It led to the contaminating of body concer","Yes","TV;Radio;Newspapers","Climate and environmental damage;Government policy changes","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Government incentives for recyclers","Local communities","Circular economy it led to the destroy of the human being and cause the air pollution due to the climate change and green house gases","Integration into school curricula;Public-private partnerships;Community-based waste management","The action that would take to reduce the plastic waste are as follows: To educate all community members, school in both public and private stopped to use the whole material related to the plastic. Government should change those material hence like plastic packages due to prevent air pollution which can effect the human being.","Health education","To find different ways that should be used in areas that can led to the prevention of microplastic pollution hence like changing industrial plastic material, penalized the one who can be used those material by Government lows, etc","Educate for all parents, childrens and others community societies to negotiate and delete to use plastic, and to predict all people's the effect of use of plastic in our everyday life and how can we prevent it."
